gene_symbol,log2FoldChange,pvalue
Gm38100,0.196111497980988,0.0943773749097146
Usp45,0.282928403034659,0.0956125478579544
Cd59b,0.205513521825332,0.0957130889661977
Lipo3,0.285048647007198,0.0960254678663905
Sin3a,-0.203965208693214,0.0972696654379145
Zfp987,0.157861917570177,0.0994389693257166
Lrmp,-0.2793670119833,0.100872099368343
Gm11646,0.230397058743168,0.102002034234875
Xdh,0.183461075109956,0.106075150497409
Gm23493,0.276664107929569,0.106576117924755
1810026B05Rik,-0.270203401758813,0.108665066000888
Ube2s,0.197420814454114,0.108665066000888
Gm8116,-0.242183838810424,0.114806152819015
Lmf1,0.272724426293975,0.114806152819015
Mirlet7g,0.232862646356926,0.114806152819015
Ryr1,0.213212500634158,0.114806152819015
Magi2,0.275993815465431,0.11843558552763
Rnf185,-0.254631034427204,0.120629568988168
Gm21982,0.277388966490958,0.121186679368732
Gm13418,-0.262031710233475,0.121319358444855
Gm42834,-0.276039830474045,0.123755678437318
Akip1,-0.212951204257951,0.123755678437318
Gm15542,-0.237733531887796,0.123997882978806
Gm8302,0.254455065082629,0.127048794591284
4732416N19Rik,-0.177187303870534,0.127048794591284
Tek,0.256973860927451,0.127048794591284
Atmin,0.231248930419824,0.129916503392435
Sidt2,0.181763299752994,0.130290434976229
Gm6316,0.205463603381027,0.132927492886968
Ccdc61,-0.201275755061934,0.132927492886968
Gm10101,-0.217967038670135,0.132927492886968
Zbtb45,-0.264535998766555,0.132927492886968
Rps15a-ps8,-0.271083285548081,0.132927492886968
RP23-187B11.11,0.147942740232652,0.132927492886968
Tmem161a,0.259722124319728,0.13314777240781
Rps7,-0.21956037030869,0.13314777240781
Nkrf,0.185823701372611,0.13314777240781
Abi2,-0.257137757453007,0.13314777240781
Ybx3,-0.270913323478974,0.13314777240781
Epn1,-0.209911795677767,0.13314777240781
Pgk1,-0.260832502222343,0.13314777240781
Rpsa-ps1,0.244170766963264,0.13314777240781
Rflna,0.179524279427891,0.133253349965811
Gm11263,-0.244337269363381,0.135935635451162
Tmed3,-0.228343036166842,0.135935635451162
Gm13203,0.271426044392414,0.135935635451162
Pkdrej,-0.269746710430547,0.136853496272286
Itga3,-0.213585585340758,0.141120138502417
Gm42872,-0.214323052280023,0.141120138502417
Pcdh19,-0.264968702853748,0.142680771300757
9530052C20Rik,-0.259910188540067,0.142680771300757
Mrpl14,-0.264717915943238,0.143723099318935
Cox7b,0.269175172316979,0.143723099318935
Ppp4r1l-ps,-0.185204337357378,0.143723099318935
Cmpk1,-0.220305591501128,0.146412605322228
Gm12902,-0.248592391402773,0.147222423185034
Ndufa11,0.126663681334044,0.147222423185034
Phax,0.264650995072044,0.148913389185071
Acaa1a,0.175013684863739,0.148913389185071
Troap,-0.195326888247076,0.148913389185071
Zcchc11,0.186500511970143,0.148913389185071
Rims3,-0.266964089030237,0.148913389185071
RP24-473A18.4,0.204637187486485,0.149006726882056
Gm42861,0.245848708935084,0.149006726882056
A430046D13Rik,0.161782109321154,0.149006726882056
Kbtbd8,0.180051698044213,0.149006726882056
Gm11796,-0.216598448936677,0.155298059513964
Setbp1,0.162605088249428,0.160267188056336
Gpr137c,0.205720633896733,0.162385686986692
Pih1d1,-0.188245711429539,0.164270236906863
Gm43403,-0.24860458582621,0.164270236906863
Lrrc25,-0.197183386694147,0.164270236906863
Frs3,-0.260311416361171,0.16481798096396
Gm13205,0.185618866064891,0.165926132273617
Tnfrsf23,0.231615014636958,0.165926132273617
Gm14025,0.254313522262198,0.168956864285829
Gm44126,-0.195554455318893,0.168956864285829
Gm15510,0.19285750978379,0.168956864285829
Gm14730,0.261945285148271,0.168956864285829
Pcdh1,-0.129369950342721,0.169158660535138
Hsf1,0.206377325168679,0.169750544400477
Gm28188,-0.183483994373362,0.169750544400477
Ywhab,0.194748550949405,0.170244844977129
Gm9341,-0.222165645749427,0.171224390352621
Ighv10-3,0.235905679987977,0.171756019534652
Cdh24,0.222981294489083,0.172439434954122
Ctc1,-0.235730446145359,0.172439434954122
Mphosph10,0.25135357660728,0.175653541311758
Fbxo43,0.197814575677936,0.176717829732944
4931440F15Rik,0.186460300176173,0.177368279747913
Eef1g,-0.259936693321514,0.177368279747913
B230217C12Rik,0.259363889675068,0.17858901761648
BC055324,-0.172348145353275,0.180617179926892
Snhg6,0.174190023474338,0.184139480481831
RP23-402F24.3,0.217555061843899,0.184139480481831
Metap2,0.256251652387164,0.186877644223599
Gm45515,0.185742350480643,0.186877644223599
Gm22581,0.155287052667127,0.186877644223599
Ankdd1b,0.257280784482614,0.186877644223599
Syp,0.25624397120782,0.18831455866831
Tnnt3,-0.225038956266116,0.188429567585726
Begain,-0.187828977112655,0.188429567585726
Ighv1-31,-0.202306331088762,0.188429567585726
Gm5619,-0.137097795956394,0.189461455759159
Rnf139,0.214340731525379,0.190209764818915
Adam10,-0.133722298302721,0.192474446567795
Gm43133,-0.22050051589287,0.192474446567795
Gm14335,-0.220077837724636,0.192474446567795
Hpf1,-0.225718951057331,0.19326710279317
RP24-252B21.3,0.161212454974086,0.195217263003999
Scarb2,0.170598303152945,0.195317029343131
Spryd4,-0.25490977940454,0.195317029343131
Gm12009,-0.224040110857269,0.195317029343131
Crcp,-0.247365379467689,0.196182753993255
Gm38109,0.248883836569287,0.19777704058766
Gm1840,-0.244123759140649,0.19777704058766
Lrrc27,-0.239366783337313,0.198171843293443
Smg5,0.215728725161167,0.198171843293443
Gpr141,0.20420400625346,0.200847890706096
Mcmdc2,-0.201567686318902,0.200847890706096
Trappc5,0.217276406889562,0.200847890706096
Mir5136,0.17247294945153,0.206884131220901
Hnrnph2,0.252082248276702,0.211188629726788
Mir1981,-0.206832633697618,0.213090016188082
Ighv1-74,0.210562109556025,0.213106948242341
Ino80dos,-0.251646429464144,0.213106948242341
Atp6v1g1,-0.200043661194677,0.213428886568631
RP24-366L10.4,0.191294866078954,0.215114701226272
Mir7034,0.232769141386094,0.21633282769547
Gm15050,0.206167539640926,0.218280787400542
Hoxc4,0.223634401640285,0.219111866792997
Adamts14,-0.238211326779871,0.22011320605461
B3gnt6,0.173795931094483,0.22011320605461
Idh3g,0.189804696093846,0.22011320605461
Cd80,-0.144163638252032,0.220234432586867
Hmx2,-0.20070064049401,0.221220379375402
Naa10,-0.248104461415479,0.22552078655886099
Zak,-0.171075402382683,0.226048757317752
Gm37292,-0.244512457725312,0.231487795204507
Atp6v0e2,0.224137789517103,0.231669020447476
Gm26514,-0.237364241788914,0.231803885893504
Rrm2b,0.246290035682041,0.231803885893504
Comt,0.194635333200288,0.232888225758791
2300009A05Rik,0.185240709682579,0.233113172026568
Scamp4,-0.229738512832755,0.23405050729652
